session_id	 user_id	 study_name	 session_date	 session_status	 creation_date	 last_update_date	  previous_session_id	 previous_session_schema	 referrer	  study_url	 user_agent
10456157	-1	pinus.ybalab.sc.b1	13Apr2018 19:38:12	null	13Apr2018 19:38:12	NULL 	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36
10456158	-1	pinus.ybalab.sc.b1	13Apr2018 19:40:39	null	13Apr2018 19:40:39	NULL 	10456157	r	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36
10456160	-1	pinus.ybalab.sc.b1	13Apr2018 19:41:03	null	13Apr2018 19:41:03	NULL 	10456158	r	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36
10458846	-1	pinus.ybalab.sc.b1	16Apr2018 04:35:57	C	16Apr2018 04:09:53	16Apr2018 04:35:57	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
10461459	-1	pinus.ybalab.sc.b1	17Apr2018 06:19:35	C	17Apr2018 05:56:26	17Apr2018 06:19:35	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36
10461523	-1	pinus.ybalab.sc.b1	17Apr2018 07:58:42	C	17Apr2018 07:31:19	17Apr2018 07:58:42	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36
10475013	-1	pinus.ybalab.sc.b1	21Apr2018 08:09:12	C	21Apr2018 07:39:25	21Apr2018 08:09:12	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36
10477279	-1	pinus.ybalab.sc.b1	22Apr2018 10:37:41	C	22Apr2018 10:07:50	22Apr2018 10:37:41	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36
10479167	-1	pinus.ybalab.sc.b1	23Apr2018 04:02:48	C	23Apr2018 03:39:59	23Apr2018 04:02:48	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36
10482519	-1	pinus.ybalab.sc.b1	24Apr2018 04:25:59	C	24Apr2018 04:05:44	24Apr2018 04:25:59	0	null	null	/user/pinus/sc.b1//sc.b1.expt.xml	Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.117 Safari/537.36
